case,id,k_value,m_angle,coating,mirror_angle,slit_h,total_pow_ss
30,U27,1.81,2.5,Pt,2.5,0.00111,261.79
31,U27,1.81,3,Pt,3,0.00134,251.99
32,U27,1.81,3.5,Pt,3.5,0.00156,243.84
20,U27,1.81,2.5,Pd,2.5,0.00111,237.17
33,U27,1.81,4,Pt,4,0.00178,235.65
21,U27,1.81,3,Pd,3,0.00134,231.86
39,U27,1.81,7,Pt,7,0.00312,223.03
34,U27,1.81,4.5,Pt,4.5,0.002,219.03
22,U27,1.81,3.5,Pd,3.5,0.00156,218.41
38,U27,1.81,6.5,Pt,6.5,0.00289,217.3
37,U27,1.81,6,Pt,6,0.00267,211.98
36,U27,1.81,5.5,Pt,5.5,0.00245,211.05
35,U27,1.81,5,Pt,5,0.00223,210.84
70,U35,2.75,2.5,Pt,2.5,0.00111,208.89
23,U27,1.81,4,Pd,4,0.00178,206.31
71,U35,2.75,3,Pt,3,0.00134,199.82
24,U27,1.81,4.5,Pd,4.5,0.002,199.39
10,U27,1.81,2.5,Cr,2.5,0.00111,197.68
12,U27,1.81,3.5,Cr,3.5,0.00156,189.87
72,U35,2.75,3.5,Pt,3.5,0.00156,187.26
11,U27,1.81,3,Cr,3,0.00134,184.49
27,U27,1.81,6,Pd,6,0.00267,184.27
28,U27,1.81,6.5,Pd,6.5,0.00289,183.47
15,U27,1.81,5,Cr,5,0.00223,180.27
60,U35,2.75,2.5,Pd,2.5,0.00111,178.38
16,U27,1.81,5.5,Cr,5.5,0.00245,178.15
26,U27,1.81,5.5,Pd,5.5,0.00245,178
61,U35,2.75,3,Pd,3,0.00134,176.47
73,U35,2.75,4,Pt,4,0.00178,175.25
62,U35,2.75,3.5,Pd,3.5,0.00156,170.97
25,U27,1.81,5,Pd,5,0.00223,170.09
14,U27,1.81,4.5,Cr,4.5,0.002,168.57
29,U27,1.81,7,Pd,7,0.00312,166.7
74,U35,2.75,4.5,Pt,4.5,0.002,165.03
17,U27,1.81,6,Cr,6,0.00267,159.13
63,U35,2.75,4,Pd,4,0.00178,158.39
75,U35,2.75,5,Pt,5,0.00223,157.35
13,U27,1.81,4,Cr,4,0.00178,155.95
19,U27,1.81,7,Cr,7,0.00312,155.6
18,U27,1.81,6.5,Cr,6.5,0.00289,154.03
76,U35,2.75,5.5,Pt,5.5,0.00245,151.58
64,U35,2.75,4.5,Pd,4.5,0.002,150.52
77,U35,2.75,6,Pt,6,0.00267,147.62
78,U35,2.75,6.5,Pt,6.5,0.00289,145.3
79,U35,2.75,7,Pt,7,0.00312,143.88
50,U35,2.75,2.5,Cr,2.5,0.00111,141.79
65,U35,2.75,5,Pd,5,0.00223,137.67
51,U35,2.75,3,Cr,3,0.00134,129.63
66,U35,2.75,5.5,Pd,5.5,0.00245,125.69
67,U35,2.75,6,Pd,6,0.00267,121.27
52,U35,2.75,3.5,Cr,3.5,0.00156,118.87
68,U35,2.75,6.5,Pd,6.5,0.00289,114.43
53,U35,2.75,4,Cr,4,0.00178,109.82
5,U27,1.81,5,Si,5,0.00223,106.89
1,U27,1.81,3,Si,3,0.00134,106.52
6,U27,1.81,5.5,Si,5.5,0.00245,105.2
4,U27,1.81,4.5,Si,4.5,0.002,104.5
69,U35,2.75,7,Pd,7,0.00312,104.01
3,U27,1.81,4,Si,4,0.00178,100
54,U35,2.75,4.5,Cr,4.5,0.002,97.61
7,U27,1.81,6,Si,6,0.00267,97.02
2,U27,1.81,3.5,Si,3.5,0.00156,96.84
55,U35,2.75,5,Cr,5,0.00223,94.81
0,U27,1.81,2.5,Si,2.5,0.00111,89.35
56,U35,2.75,5.5,Cr,5.5,0.00245,87.5
57,U35,2.75,6,Cr,6,0.00267,84.59
40,U35,2.75,2.5,Si,2.5,0.00111,80.67
58,U35,2.75,6.5,Cr,6.5,0.00289,78.47
59,U35,2.75,7,Cr,7,0.00312,74.44
41,U35,2.75,3,Si,3,0.00134,72.72
8,U27,1.81,6.5,Si,6.5,0.00289,71.38
42,U35,2.75,3.5,Si,3.5,0.00156,63.65
43,U35,2.75,4,Si,4,0.00178,53.67
44,U35,2.75,4.5,Si,4.5,0.002,50.8
45,U35,2.75,5,Si,5,0.00223,47.77
49,U35,2.75,7,Si,7,0.00312,36.65
48,U35,2.75,6.5,Si,6.5,0.00289,36.5
47,U35,2.75,6,Si,6,0.00267,35.52
46,U35,2.75,5.5,Si,5.5,0.00245,35.1
9,U27,1.81,7,Si,7,0.00312,26.22
